bedrooms,bathrooms,toilets,description,location,spec_location,price,estate_flag,terrace_flag,new_flag,serviced_flag,locationbed,estate_price,serviced_price,location_rank,new_price,exec_flag
3,2.0,3.0,3 bedroom Flat / Apartment for rent Sosanya Soluyi Gbagada Lagos ... Old. Renovated. Security Doors. All Room Ensuit. Big Compound. Pop Ceiling. Security. Parking Space. ...,gbagada,sosanya soluyi gbagada lagos,850000.0,0,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,1
1,1.0,1.0,1 bedroom mini flat Mini flat Flat / Apartment for rent Millenuim/UPS Gbagada Lagos ... ...,gbagada,millenuim ups gbagada lagos,650000.0,1,0,1,1,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,2.0,"2bed at Alapere, all rooms ensuit ... ...",gbagada,alapere gbagada lagos,600000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,3 bedroom Flat / Apartment for rent Medina Gbagada Lagos ... ...,gbagada,medina gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,3.0,3 bedroom House for rent Adeola Atunrase Medina Gbagada Lagos ... Old. Renovated. Big Compound. Security. Parking Space. 24 Hours Security. ...,gbagada,adeola atunrase medina gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,4.0,3 bedroom flat upstairs apartment ... ...,gbagada,phase 2 gbagada lagos,1500000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
1,1.0,0.0,1 bedroom mini flat Mini flat Flat / Apartment for rent Gbagada Lagos ... ...,gbagada,gbagada lagos,450000.0,1,0,0,0,gbagada1,400000.0,560000.0000000001,9,560000.0000000001,1
2,2.0,2.0,"Decent 2 bedrooms ground flat in a block of 4, 2toilet , 2 bathroom and all rooms are ensuite ... All Room Ensuit. Pop Ceiling. Security. Parking Space. ...",gbagada,ifako gbagada gbagada lagos,800000.0,0,0,0,0,gbagada2,800000.0,1060000.0,26,1060000.0,1
3,3.0,4.0,two tenants in the compound ... Security. Parking Space. ...,gbagada,millenuim ups gbagada lagos,1800000.0,1,0,0,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
3,3.0,4.0,3 bedroom Self Contain Flat / Apartment for rent Ifako-gbagada Gbagada Lagos ... New. Security Doors. Pop Ceiling. Security. Parking Space. ...,gbagada,ifako gbagada gbagada lagos,1600000.0,1,0,1,0,gbagada3,1300000.0,1840000.0000000005,31,1840000.0000000005,2
